CODIGO,CURSO,DEPENDIENTES,PROFUNDIDAD_MAX
CS111,PROGRAMACION DE VIDEO JUEGOS,27,8
CS1D1,ESTRUCTURAS DISCRETAS I,19,7
FG101,COMUNICACION,0,0
FG102,METODOLOGIA DEL ESTUDIO,0,0
FG103,INTRODUCCION A LA VIDA UNIVERSITARIA,0,0
MA100,MATEMATICA I,14,5
CS100,INTRODUCCION DE CIENCIA DE LA COMPUTACION,15,6
CS112,CIENCIA DE LA COMPUTACION I,25,7
CS1D2,ESTRUCTURAS DISCRETAS II,10,6
FG104,INTRODUCCION A LA FILOSOFIA,6,5
FG105,APRECIACION MUSICAL,0,0
FG111,"PERSONA, MATRIMONIO Y FAMILIA",0,0
MA101,MATEMATICA II,7,4
CS113,CIENCIA DE LA COMPUTACION II,20,6
CS1D3,ALGEBRA ABSTRACTA,9,5
CS221,ARQUITECTURA DE COMPUTADORES,6,5
CS231,DESARROLLO BASADO EN PLATAFORMAS,0,0
FG107,ANTROPOLOGIA FILOSOFICA Y TEOLOGICA,5,4
FG201,APRECIACION ARTISTICA,0,0
FG202,APRECIACION LITERARIA,0,0
MA102,CALCULO I,12,4
CS210,ALGORITMOS Y ESTRUCTURAS DE DATOS,14,5
CS211,TEORIA DE LA COMPUTACION,2,2
CS271,BASES DE DATOS I,8,4
FG204,TEOLOGIA,4,3
MA201,CALCULO II,6,3
MA203,ESTADISTICA Y PROBABILIDADES,3,3
CB111,FISICA COMPUTACIONAL,0,0
CS212,ANALISIS Y DISENO DE ALGORITMOS,13,4
CS272,BASES DE DATOS II,2,2
CS291,INGENIERIA DE SOFTWARE I,4,3
FG106,TEATRO,4,4
FG210,MORAL,3,2
MA306,ANALISIS NUMERICO,3,2
CS292,INGENIERIA DE SOFTWARE II,3,2
CS251,SISTEMAS OPERATIVOS,5,4
CS311,PROGRAMACION COMPETITIVA,0,0
CS312,ESTRUCTURAS DE DATOS AVANZADAS,3,2
FG203,ORATORIA,3,3
MA307,MATEMATICA APLICADA A LA COMPUTACION,1,1
CS331,REDES Y COMUNICACION,4,3
CS261,COMPUTACION GRAFICA,2,1
CS281,INTELIGENCIA ARTIFICIAL,2,2
CS341,LENGUAJES DE PROGRAMACION,1,1
CS391,INGENIERIA DE SOFTWARE III,1,1
ET101,METODOLOGIA DE LA INVESTIGACION EN COMPUTACION,3,3
FG350,LIDERAZGO,2,2
CS201,COMPUTACION EN LA SOCIEDAD,0,0
CS2H1,INTERACCION HUMANO COMPUTADOR,0,0
CS342,COMPILADORES,0,0
CS351,SEGURIDAD EN COMPUTACION,0,0
CS3P1,COMPUTACION PARALELA Y DISTRIBUIDA,2,2
CS402,PROYECTO FINAL DE CARRERA I,2,2
FG205,HISTORIA DE LA CULTURA,2,2
CB309,COMPUTACION MOLECULAR BIOLOGICA,0,0
CS361,TOPICOS EN COMPUTACION GRAFICA,0,0
CS381,TOPICOS EN INTELIGENCIA ARTIFICIAL,1,1
CS370,BIG DATA,1,1
CS392,TOPICOS AVANZADOS EN INGENIERIA DE SOFTWARE,0,0
CS403,PROYECTO FINAL DE CARRERA II,1,1
ET201,FORMACION DE EMPRESAS DE BASE TECNOLOGICA I,1,1
FG221,HISTORIA DE LA CIENCIA Y TECNOLOGIA,1,1
FG301,ENSENANZA SOCIAL DE LA IGLESIA,1,1
CS362,ROBOTICA,0,0
CS393,SISTEMAS DE INFORMACION,0,0
CS3P2,CLOUD COMPUTING,0,0
CS404,PROYECTO FINAL DE CARRERA III,0,0
ET301,FORMACION DE EMPRESAS DE BASE TECNOLOGICA II,0,0
FG211,ETICA PROFESIONAL,0,0
FG220,ANALISIS DE LA REALIDAD PERUANA,0,0
ID101,INGLES TECNICO PROFESIONAL,0,0
