COD_CURSO,CURSO,CREDITOS,TIPO_CURSO,HRS_CURSO,FAMILIA,NIVEL_CURSO
MA100,MATEMATICA I,5,O,6,MA,1
CS100,INTRODUCCION DE CIENCIA DE LA COMPUTACION,3,O,4,CS,2
CS113,CIENCIA DE LA COMPUTACION II,4,O,6,CS,3
MA203,ESTADISTICA Y PROBABILIDADES,4,O,6,MA,4
CS111,PROGRAMACION DE VIDEO JUEGOS,4,O,6,CS,1
CS112,CIENCIA DE LA COMPUTACION I,5,O,8,CS,2
FG105,APRECIACION MUSICAL,2,EH,3,FG,2
FG104,INTRODUCCION A LA FILOSOFIA,2,O,3,FG,2
CS391,INGENIERIA DE SOFTWARE III,3,O,4,CS,7
CS231,DESARROLLO BASADO EN PLATAFORMAS,3,O,4,CS,3
MA101,MATEMATICA II,4,O,6,MA,2
CS212,ANALISIS Y DISENO DE ALGORITMOS,4,O,6,CS,5
CS211,TEORIA DE LA COMPUTACION,4,O,6,CS,4
ET301,FORMACION DE EMPRESAS DE BASE TECNOLOGICA II,3,O,4,ET,10
CS2H1,INTERACCION HUMANO COMPUTADOR,3,O,5,CS,8
CS210,ALGORITMOS Y ESTRUCTURAS DE DATOS,4,O,6,CS,4
FG210,MORAL,2,O,3,FG,5
FG350,LIDERAZGO,2,O,3,FG,7
CS341,LENGUAJES DE PROGRAMACION,4,O,6,CS,7
FG106,TEATRO,2,O,3,FG,5
MA201,CALCULO II,4,O,6,MA,4
CS221,ARQUITECTURA DE COMPUTADORES,3,O,4,CS,3
FG221,HISTORIA DE LA CIENCIA Y TECNOLOGIA,2,O,3,FG,9
CS362,ROBOTICA,4,EP,6,CS,10
FG202,APRECIACION LITERARIA,2,EH,3,FG,3
FG103,INTRODUCCION A LA VIDA UNIVERSITARIA,3,O,4,FG,1
CS1D2,ESTRUCTURAS DISCRETAS II,4,O,6,CS,2
CS312,ESTRUCTURAS DE DATOS AVANZADAS,4,O,6,CS,6
FG204,TEOLOGIA,2,O,3,FG,4
FG211,ETICA PROFESIONAL,3,O,3,FG,10
FG201,APRECIACION ARTISTICA,2,EH,3,FG,3
FG205,HISTORIA DE LA CULTURA,3,O,3,FG,8
CS311,PROGRAMACION COMPETITIVA,4,O,6,CS,6
FG107,ANTROPOLOGIA FILOSOFICA Y TEOLOGICA,2,O,3,FG,3
CS261,COMPUTACION GRAFICA,4,O,6,CS,7
FG102,METODOLOGIA DEL ESTUDIO,3,O,4,FG,1
FG301,ENSENANZA SOCIAL DE LA IGLESIA,3,O,3,FG,9
MA102,CALCULO I,4,O,6,MA,3
CS1D1,ESTRUCTURAS DISCRETAS I,4,O,6,CS,1
FG220,ANALISIS DE LA REALIDAD PERUANA,3,O,3,FG,10
CS1D3,ALGEBRA ABSTRACTA,3,O,4,CS,3
FG111,"PERSONA, MATRIMONIO Y FAMILIA",2,EH,3,FG,2
CS342,COMPILADORES,4,O,6,CS,8
CS201,COMPUTACION EN LA SOCIEDAD,2,O,2,CS,8
MA306,ANALISIS NUMERICO,3,O,5,MA,5
CS370,BIG DATA,3,O,5,CS,9
CS272,BASES DE DATOS II,3,O,5,CS,5
ET101,METODOLOGIA DE LA INVESTIGACION EN COMPUTACION,2,O,3,ET,7
MA307,MATEMATICA APLICADA A LA COMPUTACION,4,O,6,MA,6
CS281,INTELIGENCIA ARTIFICIAL,4,O,6,CS,7
CS403,PROYECTO FINAL DE CARRERA II,3,O,4,CS,9
FG101,COMUNICACION,3,O,4,FG,1
FG203,ORATORIA,2,O,3,FG,6
ET201,FORMACION DE EMPRESAS DE BASE TECNOLOGICA I,3,O,4,ET,9
CS404,PROYECTO FINAL DE CARRERA III,3,O,4,CS,10
CB309,COMPUTACION MOLECULAR BIOLOGICA,4,EP,6,CB,9
CS292,INGENIERIA DE SOFTWARE II,4,O,6,CS,6
CS271,BASES DE DATOS I,4,O,6,CS,4
CB111,FISICA COMPUTACIONAL,4,O,6,CB,5
CS392,TOPICOS AVANZADOS EN INGENIERIA DE SOFTWARE,4,EP,6,CS,9
CS3P2,CLOUD COMPUTING,3,O,5,CS,10
CS381,TOPICOS EN INTELIGENCIA ARTIFICIAL,4,EP,6,CS,9
CS361,TOPICOS EN COMPUTACION GRAFICA,4,EP,6,CS,9
CS3P1,COMPUTACION PARALELA Y DISTRIBUIDA,4,O,6,CS,8
CS331,REDES Y COMUNICACION,3,O,5,CS,7
CS251,SISTEMAS OPERATIVOS,4,O,6,CS,6
CS291,INGENIERIA DE SOFTWARE I,4,O,6,CS,5
CS402,PROYECTO FINAL DE CARRERA I,3,O,4,CS,8
ID101,INGLES TECNICO PROFESIONAL,3,O,4,ID,10
CS351,SEGURIDAD EN COMPUTACION,4,O,6,CS,8
CS393,SISTEMAS DE INFORMACION,4,EP,6,CS,10
