COD_CURSO,curso,creditos,FAMILIA,NIVEL_CURSO,TIPO,HORAS,PREREQUISITO,PREREQUISITO_COD
MA100,MATEMATICA I,5,MA,1,O,6,[],[]
CS100,INTRODUCCION DE CIENCIA DE LA COMPUTACION,3,CS,2,O,4,['PROGRAMACION DE VIDEO JUEGOS'],[CS111]
CS113,CIENCIA DE LA COMPUTACION II,4,CS,3,O,6,['CIENCIA DE LA COMPUTACION I'],[CS112]
MA203,ESTADISTICA Y PROBABILIDADES,4,MA,4,O,6,['CALCULO I'],[MA102]
CS111,PROGRAMACION DE VIDEO JUEGOS,4,CS,1,O,6,[],[]
CS112,CIENCIA DE LA COMPUTACION I,5,CS,2,O,8,['PROGRAMACION DE VIDEO JUEGOS'],[CS111]
FG105,APRECIACION MUSICAL,2,FG,2,EH,3,[],[]
FG104,INTRODUCCION A LA FILOSOFIA,2,FG,2,O,3,[],[]
CS391,INGENIERIA DE SOFTWARE III,3,CS,7,O,4,['INGENIERIA DE SOFTWARE II'],[CS292]
CS231,DESARROLLO BASADO EN PLATAFORMAS,3,CS,3,O,4,['CIENCIA DE LA COMPUTACION I'],[CS112]
MA101,MATEMATICA II,4,MA,2,O,6,['MATEMATICA I'],[MA100]
CS212,ANALISIS Y DISENO DE ALGORITMOS,4,CS,5,O,6,['ALGORITMOS Y ESTRUCTURAS DE DATOS'],[CS210]
CS211,TEORIA DE LA COMPUTACION,4,CS,4,O,6,['ESTRUCTURAS DISCRETAS II'],[CS1D2]
ET301,FORMACION DE EMPRESAS DE BASE TECNOLOGICA II,3,ET,10,O,4,['FORMACION DE EMPRESAS DE BASE TECNOLOGICA I'],[ET201]
CS2H1,INTERACCION HUMANO COMPUTADOR,3,CS,8,O,5,['COMPUTACION GRAFICA'],[CS261]
CS210,ALGORITMOS Y ESTRUCTURAS DE DATOS,4,CS,4,O,6,"['CIENCIA DE LA COMPUTACION II', 'INTRODUCCION DE CIENCIA DE LA COMPUTACION']","[CS113, CS100]"
FG210,MORAL,2,FG,5,O,3,['TEOLOGIA'],[FG204]
FG350,LIDERAZGO,2,FG,7,O,3,['ORATORIA'],[FG203]
CS341,LENGUAJES DE PROGRAMACION,4,CS,7,O,6,['TEORIA DE LA COMPUTACION'],[CS211]
