COD_PERSONA,COD_CURSO,PER_MATRICULA,NOTA,HRS_INASISTENCIA
33277,MA100,2017-01,20.0,0
38231,CS100,2020-01,20.0,0
33277,CS113,2018-01,20.0,0
35818,MA100,2018-01,20.0,0
41781,MA100,2020-02,20.0,0
14514,MA203,2012-02,20.0,2
40395,CS111,2020-02,20.0,0
38231,CS113,2020-02,20.0,0
29233,CS113,2017-02,20.0,2
14514,CS112,2011-01,19.99,0
27820,CS112,2015-01,19.95,12
39760,FG105,2020-02,19.92,0
37416,FG104,2019-02,19.9,0
35086,MA100,2018-00,19.88,0
35818,CS111,2018-01,19.85,2
37828,CS100,2020-01,19.85,0
18666,MA203,2013-01,19.85,0
39858,FG104,2020-02,19.85,0
22171,CS112,2014-01,19.85,2
20083,CS112,2013-01,19.82,12
27820,CS391,2019-02,19.8,2
18666,CS231,2017-02,19.8,5
38722,CS111,2019-01,19.8,4
38311,FG104,2019-02,19.8,0
33140,CS100,2020-01,19.77,0
35053,FG105,2018-02,19.76,3
33392,CS111,2017-01,19.75,6
37416,FG105,2019-02,19.75,3
39760,FG104,2020-02,19.75,0
14514,MA100,2011-01,19.72,0
38311,MA101,2019-02,19.72,0
32324,CS111,2017-01,19.71,8
18666,CS212,2014-02,19.7,0
38231,FG104,2020-01,19.7,0
39951,FG105,2020-01,19.7,0
22171,CS211,2015-01,19.7,0
18666,CS113,2013-01,19.7,0
44047,MA100,2020-02,19.69,0
14514,CS113,2011-02,19.65,0
22967,CS112,2014-01,19.65,6
33277,CS111,2017-01,19.65,2
40118,FG105,2020-02,19.64,0
17055,CS113,2012-02,19.64,0
40278,FG105,2020-02,19.64,0
37031,FG105,2019-02,19.64,3
15586,ET301,2020-01,19.63,0
25550,CS112,2016-01,19.62,4
26908,ET301,2020-01,19.6,0
29018,CS2H1,2020-01,19.59,0
32651,CS111,2017-01,19.59,0
40983,FG105,2020-02,19.58,0
26068,ET301,2019-02,19.55,6
40158,FG104,2020-02,19.55,0
37839,CS100,2020-01,19.55,0
20060,CS112,2013-01,19.55,8
38311,MA100,2019-01,19.53,0
14514,CS210,2012-02,19.52,6
37455,MA101,2019-02,19.52,2
37427,MA100,2019-01,19.5,0
22961,CS112,2014-01,19.5,4
26433,ET301,2019-02,19.5,18
13681,FG210,2011-02,19.5,6
13681,CS113,2012-00,19.49,4
33457,CS100,2020-01,19.45,0
13523,FG350,2014-01,19.45,3
19398,CS341,2016-01,19.45,0
19391,FG105,2019-01,19.43,0
23231,FG106,2015-01,19.42,0
37042,FG105,2019-02,19.42,3
38114,FG105,2019-02,19.42,3
33277,MA201,2018-02,19.41,0
13523,CS231,2011-01,19.4,6
18666,MA201,2012-02,19.4,10
37031,FG104,2019-02,19.4,0
32589,FG105,2017-02,19.4,0
18666,CS221,2013-02,19.4,0
30292,FG221,2020-02,19.4,0
40983,FG104,2020-02,19.4,0
28739,CS2H1,2020-01,19.39,0
27820,CS362,2020-02,19.39,0
17055,FG105,2012-02,19.38,3
35408,FG106,2020-01,19.37,0
23880,CS111,2016-02,19.37,28
38231,FG202,2020-02,19.36,0
40118,FG104,2020-02,19.35,0
38830,MA100,2019-01,19.35,0
35195,FG106,2020-01,19.34,0
20060,FG103,2013-01,19.34,0
18666,CS1D2,2013-01,19.33,0
38114,MA101,2019-02,19.32,6
26068,FG105,2015-02,19.31,9
18666,CS312,2015-01,19.31,4
35818,MA101,2018-02,19.3,6
22575,FG204,2016-01,19.3,3
28445,CS111,2016-01,19.3,14
25273,FG211,2019-02,19.3,3
26908,CS100,2016-01,19.3,0
29383,ET301,2020-02,19.3,0
22171,ET301,2018-02,19.3,0
35086,FG105,2018-02,19.3,0
12755,FG201,2011-01,19.27,3
32651,FG205,2020-02,19.27,0
25401,CS362,2020-02,19.27,0
14654,CS112,2011-01,19.27,0
26068,CS231,2019-02,19.26,3
35818,CS311,2020-02,19.26,0
35972,CS100,2019-02,19.26,2
14514,FG107,2012-01,19.25,3
37031,CS100,2019-02,19.25,0
14642,CS100,2011-02,19.25,0
29192,FG104,2020-01,19.25,0
28602,CS261,2019-00,19.25,18
17055,FG102,2012-01,19.23,0
22967,FG301,2018-01,19.22,12
35818,FG106,2020-01,19.22,0
14514,CS100,2011-02,19.22,0
39376,CS111,2019-02,19.2,2
23231,FG301,2018-00,19.2,0
37839,CS111,2019-02,19.2,4
14514,CS211,2012-02,19.2,0
37042,FG204,2020-02,19.2,0
38311,FG105,2019-02,19.2,0
39760,FG103,2020-01,19.2,0
37828,CS111,2019-02,19.2,14
13523,FG204,2012-02,19.19,0
35053,MA102,2019-01,19.18,6
37416,CS231,2020-01,19.17,0
25273,FG205,2017-02,19.16,12
36215,CS311,2020-02,19.16,0
39639,FG104,2020-02,19.15,0
35818,CS210,2019-02,19.15,4
37031,FG204,2020-02,19.15,0
26068,CS100,2015-02,19.15,4
20060,CS1D1,2013-01,19.14,0
14514,CS341,2014-01,19.14,2
14642,FG102,2011-01,19.13,0
25273,FG107,2016-01,19.12,0
40235,FG202,2020-02,19.12,0
37042,CS231,2020-01,19.12,0
19498,CS112,2013-02,19.11,0
20579,FG220,2018-02,19.11,0
23231,FG221,2017-02,19.11,0
37839,FG103,2019-02,19.11,0
37042,MA101,2019-02,19.1,0
23231,CS100,2014-02,19.1,0
37417,MA100,2019-01,19.1,8
33457,CS113,2020-02,19.1,0
37031,CS113,2020-01,19.1,0
22967,FG204,2016-01,19.1,3
29192,CS100,2020-01,19.09,0
33890,CS312,2019-02,19.07,20
37455,FG105,2019-02,19.07,3
35053,FG106,2020-01,19.07,0
18666,CS231,2013-02,19.06,4
35210,CS100,2019-02,19.06,4
19391,CS111,2019-01,19.06,2
