COD_PERSONA,COD_CURSO,PER_MATRICULA,NOTA,HRS_INASISTENCIA
33277,MA100,2017-01,20.0,0
33277,CS113,2018-01,20.0,0
35818,MA100,2018-01,20.0,0
29233,CS113,2017-02,20.0,2
35086,MA100,2018-00,19.88,0
35818,CS111,2018-01,19.85,2
38722,CS111,2019-01,19.8,4
35053,FG105,2018-02,19.76,3
33392,CS111,2017-01,19.75,6
32324,CS111,2017-01,19.71,8
33277,CS111,2017-01,19.65,2
32651,CS111,2017-01,19.59,0
38311,MA100,2019-01,19.53,0
37427,MA100,2019-01,19.5,0
19391,FG105,2019-01,19.43,0
33277,MA201,2018-02,19.41,0
32589,FG105,2017-02,19.4,0
23880,CS111,2016-02,19.37,28
38830,MA100,2019-01,19.35,0
35818,MA101,2018-02,19.3,6
28445,CS111,2016-01,19.3,14
35086,FG105,2018-02,19.3,0
28602,CS261,2019-00,19.25,18
35053,MA102,2019-01,19.18,6
37417,MA100,2019-01,19.1,8
19391,CS111,2019-01,19.06,2
32595,CS111,2017-01,19.05,0
37808,CS111,2019-01,19.05,0
28602,CS111,2016-01,19.04,8
35053,CS111,2018-01,19.03,2
33277,CS1D1,2017-01,18.91,2
37031,FG103,2019-01,18.9,0
38114,MA100,2019-01,18.9,4
28602,FG105,2016-02,18.9,3
31497,CS1D1,2018-02,18.9,4
32595,MA201,2018-02,18.89,0
32858,MA201,2018-02,18.87,6
38722,MA100,2019-01,18.83,4
29100,CS111,2017-02,18.82,4
28445,FG105,2016-02,18.81,12
35818,FG103,2018-01,18.79,0
30250,FG103,2016-01,18.75,0
37842,CS111,2019-01,18.75,2
32651,MA203,2018-02,18.72,6
33307,MA100,2019-01,18.72,0
38283,CS111,2019-01,18.7,2
32860,FG105,2018-01,18.66,0
29018,CS113,2017-01,18.65,2
32595,FG106,2019-01,18.64,0
29442,CS111,2016-01,18.64,2
32324,MA100,2017-00,18.63,12
32651,MA306,2019-00,18.6,0
37042,FG103,2019-01,18.6,0
37900,MA100,2019-01,18.6,0
37031,FG102,2019-01,18.59,0
35053,CS113,2019-01,18.56,2
37950,MA100,2019-01,18.56,0
38830,CS111,2019-01,18.55,2
28445,MA102,2017-01,18.54,8
35972,CS111,2019-01,18.5,4
35053,MA101,2018-02,18.5,3
29694,CS111,2016-02,18.45,26
33277,MA101,2017-02,18.44,2
36513,FG105,2019-01,18.43,3
37455,FG103,2019-01,18.4,0
33890,FG106,2017-02,18.4,3
17455,CS111,2016-01,18.39,18
35053,FG103,2018-01,18.39,0
28129,CS111,2017-02,18.37,20
28704,FG106,2019-01,18.37,3
28445,CS1D3,2018-00,18.36,0
35053,FG104,2018-02,18.36,0
35818,CS1D1,2018-01,18.34,2
28784,FG204,2019-00,18.32,3
32541,FG201,2018-01,18.31,0
38311,CS1D1,2019-01,18.3,0
36215,FG103,2018-01,18.26,3
33890,FG203,2018-01,18.26,0
32324,FG102,2017-01,18.23,10
28324,FG105,2019-01,18.23,9
32858,FG102,2017-01,18.23,0
33099,FG106,2019-01,18.23,0
29912,FG105,2016-02,18.23,6
19391,CS1D1,2019-01,18.23,2
32651,FG106,2019-01,18.22,6
31497,CS111,2018-02,18.21,4
37031,CS111,2019-01,18.2,0
32393,CS272,2019-01,18.2,6
33890,CS211,2018-02,18.2,0
33890,CS111,2017-01,18.2,6
35818,FG202,2019-01,18.2,0
32860,MA101,2018-02,18.2,0
19391,FG102,2019-01,18.2,0
33277,FG106,2019-01,18.19,0
32589,FG106,2019-01,18.19,0
29241,CS1D1,2017-01,18.18,6
29018,FG102,2016-01,18.17,0
29233,CS111,2016-02,18.16,2
33277,CS1D2,2017-02,18.16,0
32858,FG106,2019-01,18.16,9
38114,CS111,2019-01,18.15,2
36215,FG104,2018-02,18.15,0
32858,CS111,2017-01,18.15,0
32858,CS100,2017-02,18.15,0
35360,FG105,2018-02,18.15,3
33890,MA100,2017-01,18.14,2
29454,CS210,2017-02,18.14,4
33000,MA100,2017-02,18.13,14
32589,FG102,2017-01,18.13,0
32499,CS111,2017-01,18.12,2
29326,CS1D3,2019-00,18.11,9
29241,FG106,2019-01,18.11,3
31519,CS1D3,2018-02,18.1,6
28445,MA306,2019-00,18.1,4
34813,FG105,2018-01,18.1,3
33277,MA203,2018-02,18.1,8
32393,FG106,2019-01,18.1,0
38283,FG101,2019-01,18.09,6
30250,FG102,2016-01,18.09,0
28602,CS381,2018-02,18.08,14
30292,FG106,2018-01,18.08,0
32922,FG102,2017-01,18.06,0
28445,FG103,2016-01,18.05,6
29018,CS211,2017-02,18.02,2
37416,MA100,2019-01,18.02,0
32858,MA100,2017-01,18.01,2
35053,MA100,2018-01,18.01,2
32541,FG111,2017-02,18.01,3
28823,FG106,2018-02,18.0,0
32858,MA306,2019-00,18.0,8
28932,CS112,2017-00,17.99,3
35818,CS113,2019-01,17.98,0
12154,FG102,2018-01,17.97,12
32815,FG106,2019-01,17.96,0
29454,CS111,2016-01,17.96,0
20113,CS111,2017-01,17.96,4
32858,FG103,2017-01,17.95,0
35484,FG105,2018-02,17.95,0
29289,CS111,2017-01,17.95,28
29018,CS111,2016-01,17.94,2
35818,CS1D2,2018-02,17.92,6
19391,FG201,2019-01,17.9,0
31912,MA100,2018-02,17.89,16
28445,FG102,2016-01,17.88,14
29454,FG106,2018-01,17.87,0
29018,CS1D2,2016-02,17.87,0
32541,FG102,2017-01,17.84,0
32324,MA102,2018-00,17.84,20
32324,MA203,2018-02,17.82,16
28846,FG105,2016-02,17.81,3
33277,CB111,2019-01,17.81,2
23880,FG106,2019-01,17.8,9
32541,FG103,2017-01,17.8,0
36215,MA100,2018-01,17.78,14
36449,MA100,2018-01,17.78,0
35053,CS231,2019-01,17.78,0
29000,FG105,2016-02,17.76,3
33890,CS272,2019-01,17.75,3
28602,FG103,2016-01,17.75,0
31912,FG105,2017-02,17.75,9
39242,MA100,2019-01,17.75,4
32324,FG111,2017-02,17.74,0
28445,FG203,2018-02,17.74,3
32899,FG106,2019-01,17.74,0
35818,CS112,2018-02,17.74,0
35629,CS111,2019-01,17.73,14
29018,CS272,2018-02,17.73,8
29259,CS1D1,2016-01,17.72,10
31497,FG102,2018-02,17.72,8
31519,FG106,2016-02,17.72,9
37042,FG101,2019-01,17.71,0
38283,FG103,2019-01,17.71,3
32393,MA306,2019-00,17.7,0
32595,FG103,2017-01,17.7,0
28324,MA100,2017-02,17.7,18
29097,FG106,2018-01,17.68,0
32589,CS1D3,2019-00,17.68,0
36307,FG202,2019-01,17.68,3
32595,CS271,2018-02,17.67,0
28602,CS221,2017-01,17.66,4
31519,CS111,2016-01,17.66,16
29475,CS111,2016-02,17.65,22
28445,CS1D1,2016-01,17.63,18
37031,FG101,2019-01,17.63,0
35818,CS231,2019-01,17.63,0
33890,FG103,2017-01,17.62,0
28602,CS211,2017-01,17.61,3
35053,FG107,2019-01,17.61,0
23880,FG103,2016-02,17.6,3
35713,FG111,2018-02,17.6,6
33890,FG102,2017-01,17.6,2
29038,CS100,2016-02,17.6,0
23880,FG101,2016-02,17.6,8
36307,MA102,2019-01,17.59,0
29442,FG106,2016-02,17.59,6
28602,CS112,2016-02,17.59,8
29289,FG103,2017-01,17.58,0
33277,FG103,2017-01,17.58,0
33277,FG102,2017-01,17.58,0
36307,CS112,2019-01,17.56,0
29038,FG105,2016-02,17.56,0
19391,CS100,2019-01,17.56,0
29442,CS113,2017-01,17.56,22
31388,MA100,2016-01,17.56,14
29000,CS112,2017-01,17.55,0
33397,FG103,2017-02,17.55,9
38311,FG103,2019-01,17.55,0
28445,CS100,2016-02,17.55,10
28932,FG103,2016-01,17.55,0
33277,CS272,2019-01,17.53,11
33277,FG202,2018-01,17.52,0
32595,MA101,2017-02,17.51,0
32651,FG102,2017-01,17.51,2
32324,FG106,2019-01,17.51,6
28151,FG111,2018-01,17.5,15
35818,CS100,2018-02,17.49,2
28704,CS111,2016-01,17.48,12
23880,FG105,2017-01,17.47,9
33277,CS221,2018-01,17.46,2
37031,CS1D1,2019-01,17.43,2
35360,FG104,2018-02,17.43,0
31519,MA100,2016-01,17.43,14
29326,FG106,2018-02,17.42,0
32651,CS100,2017-02,17.41,4
35132,MA101,2018-02,17.4,3
33197,MA100,2017-01,17.4,0
33890,FG111,2019-01,17.4,15
32393,CS111,2017-01,17.4,2
34844,FG106,2019-01,17.4,3
29151,FG106,2018-01,17.4,3
