cod_curso,curso,seccion_key,horarios
CS210,ALGORITMOS Y ESTRUCTURAS DE DATOS,1.01,"[{""Seccion"": 1, ""Grupo"": ""LABORATORIO 1.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Jue. 07:00 - 09:00"", ""Dia"": ""Jue"", ""Hora_inicio"": ""07:00"", ""Hora_fin"": ""09:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M604(30)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Nina Choquehuayta, Wilder "", ""Correo"": ""wnina@utec.edu.pe""}, {""Seccion"": 1, ""Grupo"": ""LABORATORIO 1.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Vie. 10:00 - 12:00"", ""Dia"": ""Vie"", ""Hora_inicio"": ""10:00"", ""Hora_fin"": ""12:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M604(30)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Nina Choquehuayta, Wilder "", ""Correo"": ""wnina@utec.edu.pe""}, {""Seccion"": 1, ""Grupo"": ""TEORÍA 1"", ""Modalidad"": ""Presencial"", ""Horario"": ""Lun. 11:00 - 13:00"", ""Dia"": ""Lun"", ""Hora_inicio"": ""11:00"", ""Hora_fin"": ""13:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A901(42)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Nina Choquehuayta, Wilder "", ""Correo"": ""wnina@utec.edu.pe""}]"
CS210,ALGORITMOS Y ESTRUCTURAS DE DATOS,2.01,"[{""Seccion"": 2, ""Grupo"": ""LABORATORIO 2.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mie. 18:00 - 20:00"", ""Dia"": ""Mie"", ""Hora_inicio"": ""18:00"", ""Hora_fin"": ""20:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M803(45)"", ""Vacantes"": 45, ""Matriculados"": 45, ""Docente"": ""Sanchez Enriquez, Heider Ysaias"", ""Correo"": ""hsanchez@utec.edu.pe""}, {""Seccion"": 2, ""Grupo"": ""LABORATORIO 2.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Jue. 18:00 - 20:00"", ""Dia"": ""Jue"", ""Hora_inicio"": ""18:00"", ""Hora_fin"": ""20:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M302(60)"", ""Vacantes"": 45, ""Matriculados"": 45, ""Docente"": ""Sanchez Enriquez, Heider Ysaias"", ""Correo"": ""hsanchez@utec.edu.pe""}, {""Seccion"": 2, ""Grupo"": ""TEORÍA 2"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mar. 18:00 - 20:00"", ""Dia"": ""Mar"", ""Hora_inicio"": ""18:00"", ""Hora_fin"": ""20:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A903(46)"", ""Vacantes"": 45, ""Matriculados"": 45, ""Docente"": ""Sanchez Enriquez, Heider Ysaias"", ""Correo"": ""hsanchez@utec.edu.pe""}]"
CS210,ALGORITMOS Y ESTRUCTURAS DE DATOS,3.01,"[{""Seccion"": 3, ""Grupo"": ""LABORATORIO 3.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Jue. 12:00 - 14:00"", ""Dia"": ""Jue"", ""Hora_inicio"": ""12:00"", ""Hora_fin"": ""14:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M601(30)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Ojeda Rios, Brenner Humberto "", ""Correo"": ""bojeda@utec.edu.pe""}, {""Seccion"": 3, ""Grupo"": ""LABORATORIO 3.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Vie. 10:00 - 12:00"", ""Dia"": ""Vie"", ""Hora_inicio"": ""10:00"", ""Hora_fin"": ""12:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M602(30)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Ojeda Rios, Brenner Humberto "", ""Correo"": ""bojeda@utec.edu.pe""}, {""Seccion"": 3, ""Grupo"": ""TEORÍA 3"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mar. 11:00 - 13:00"", ""Dia"": ""Mar"", ""Hora_inicio"": ""11:00"", ""Hora_fin"": ""13:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M302(60)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Ojeda Rios, Brenner Humberto "", ""Correo"": ""bojeda@utec.edu.pe""}]"
FG107,ANTROPOLOGIA FILOSOFICA Y TEOLOGICA,1.01,"[{""Seccion"": 1, ""Grupo"": ""LABORATORIO VIRTUAL 1.01"", ""Modalidad"": ""Sincronico"", ""Horario"": ""Jue. 16:00 - 18:00"", ""Dia"": ""Jue"", ""Hora_inicio"": ""16:00"", ""Hora_fin"": ""18:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA Virtual"", ""Vacantes"": 44, ""Matriculados"": 39, ""Docente"": ""Millán Falconí, Armando "", ""Correo"": ""amillan@utec.edu.pe""}, {""Seccion"": 1, ""Grupo"": ""TEORÍA 1"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mar. 16:00 - 18:00"", ""Dia"": ""Mar"", ""Hora_inicio"": ""16:00"", ""Hora_fin"": ""18:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A707(44)"", ""Vacantes"": 44, ""Matriculados"": 39, ""Docente"": ""Millán Falconí, Armando "", ""Correo"": ""amillan@utec.edu.pe""}]"
FG107,ANTROPOLOGIA FILOSOFICA Y TEOLOGICA,2.01,"[{""Seccion"": 2, ""Grupo"": ""LABORATORIO VIRTUAL 2.01"", ""Modalidad"": ""Sincronico"", ""Horario"": ""Vie. 18:00 - 20:00"", ""Dia"": ""Vie"", ""Hora_inicio"": ""18:00"", ""Hora_fin"": ""20:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA Virtual 104"", ""Vacantes"": 40, ""Matriculados"": 22, ""Docente"": ""Millán Falconí, Armando "", ""Correo"": ""amillan@utec.edu.pe""}, {""Seccion"": 2, ""Grupo"": ""TEORÍA 2"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mar. 14:00 - 16:00"", ""Dia"": ""Mar"", ""Hora_inicio"": ""14:00"", ""Hora_fin"": ""16:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A707(44)"", ""Vacantes"": 40, ""Matriculados"": 22, ""Docente"": ""Millán Falconí, Armando "", ""Correo"": ""amillan@utec.edu.pe""}]"
CS212,ANALISIS Y DISENO DE ALGORITMOS,1.01,"[{""Seccion"": 1, ""Grupo"": ""LABORATORIO 1.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mie. 09:00 - 11:00"", ""Dia"": ""Mie"", ""Hora_inicio"": ""09:00"", ""Hora_fin"": ""11:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A908(48)"", ""Vacantes"": 44, ""Matriculados"": 44, ""Docente"": ""Napa Bernuy, Angel Gerardo "", ""Correo"": ""anapa@utec.edu.pe""}, {""Seccion"": 1, ""Grupo"": ""LABORATORIO 1.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Vie. 08:00 - 10:00"", ""Dia"": ""Vie"", ""Hora_inicio"": ""08:00"", ""Hora_fin"": ""10:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A908(48)"", ""Vacantes"": 44, ""Matriculados"": 44, ""Docente"": ""Napa Bernuy, Angel Gerardo "", ""Correo"": ""anapa@utec.edu.pe""}, {""Seccion"": 1, ""Grupo"": ""TEORÍA 1"", ""Modalidad"": ""Presencial"", ""Horario"": ""Lun. 09:00 - 11:00"", ""Dia"": ""Lun"", ""Hora_inicio"": ""09:00"", ""Hora_fin"": ""11:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A904(44)"", ""Vacantes"": 44, ""Matriculados"": 44, ""Docente"": ""Napa Bernuy, Angel Gerardo "", ""Correo"": ""anapa@utec.edu.pe""}]"
CS212,ANALISIS Y DISENO DE ALGORITMOS,2.01,"[{""Seccion"": 2, ""Grupo"": ""LABORATORIO 2.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mie. 10:00 - 12:00"", ""Dia"": ""Mie"", ""Hora_inicio"": ""10:00"", ""Hora_fin"": ""12:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A804(45)"", ""Vacantes"": 44, ""Matriculados"": 30, ""Docente"": ""Gutierrez Alva, Julio "", ""Correo"": ""jgalva@utec.edu.pe""}, {""Seccion"": 2, ""Grupo"": ""LABORATORIO 2.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Vie. 09:00 - 11:00"", ""Dia"": ""Vie"", ""Hora_inicio"": ""09:00"", ""Hora_fin"": ""11:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A906(44)"", ""Vacantes"": 44, ""Matriculados"": 30, ""Docente"": ""Gutierrez Alva, Julio "", ""Correo"": ""jgalva@utec.edu.pe""}, {""Seccion"": 2, ""Grupo"": ""TEORÍA 2"", ""Modalidad"": ""Presencial"", ""Horario"": ""Lun. 09:00 - 11:00"", ""Dia"": ""Lun"", ""Hora_inicio"": ""09:00"", ""Hora_fin"": ""11:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A908(48)"", ""Vacantes"": 44, ""Matriculados"": 30, ""Docente"": ""Gutierrez Alva, Julio "", ""Correo"": ""jgalva@utec.edu.pe""}]"
CS212,ANALISIS Y DISENO DE ALGORITMOS,3.01,"[{""Seccion"": 3, ""Grupo"": ""LABORATORIO 3.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Jue. 14:00 - 16:00"", ""Dia"": ""Jue"", ""Hora_inicio"": ""14:00"", ""Hora_fin"": ""16:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A102(36)"", ""Vacantes"": 30, ""Matriculados"": 8, ""Docente"": ""Gutierrez Alva, Juan Gabriel"", ""Correo"": ""jgutierreza@utec.edu.pe""}, {""Seccion"": 3, ""Grupo"": ""LABORATORIO 3.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Vie. 14:00 - 16:00"", ""Dia"": ""Vie"", ""Hora_inicio"": ""14:00"", ""Hora_fin"": ""16:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A102(36)"", ""Vacantes"": 30, ""Matriculados"": 8, ""Docente"": ""Gutierrez Alva, Juan Gabriel"", ""Correo"": ""jgutierreza@utec.edu.pe""}, {""Seccion"": 3, ""Grupo"": ""TEORÍA 3"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mar. 14:00 - 16:00"", ""Dia"": ""Mar"", ""Hora_inicio"": ""14:00"", ""Hora_fin"": ""16:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M301(30)"", ""Vacantes"": 30, ""Matriculados"": 8, ""Docente"": ""Gutierrez Alva, Juan Gabriel"", ""Correo"": ""jgutierreza@utec.edu.pe""}]"
CS212,ANALISIS Y DISENO DE ALGORITMOS,4.01,"[{""Seccion"": 4, ""Grupo"": ""LABORATORIO 4.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Jue. 11:00 - 13:00"", ""Dia"": ""Jue"", ""Hora_inicio"": ""11:00"", ""Hora_fin"": ""13:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A802(45)"", ""Vacantes"": 45, ""Matriculados"": 39, ""Docente"": ""Gutierrez Alva, Julio "", ""Correo"": ""jgalva@utec.edu.pe""}, {""Seccion"": 4, ""Grupo"": ""LABORATORIO 4.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Vie. 11:00 - 13:00"", ""Dia"": ""Vie"", ""Hora_inicio"": ""11:00"", ""Hora_fin"": ""13:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A804(45)"", ""Vacantes"": 45, ""Matriculados"": 39, ""Docente"": ""Gutierrez Alva, Julio "", ""Correo"": ""jgalva@utec.edu.pe""}, {""Seccion"": 4, ""Grupo"": ""TEORÍA 4"", ""Modalidad"": ""Presencial"", ""Horario"": ""Lun. 11:00 - 13:00"", ""Dia"": ""Lun"", ""Hora_inicio"": ""11:00"", ""Hora_fin"": ""13:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A802(45)"", ""Vacantes"": 45, ""Matriculados"": 39, ""Docente"": ""Gutierrez Alva, Julio "", ""Correo"": ""jgalva@utec.edu.pe""}]"
CS221,ARQUITECTURA DE COMPUTADORES,1.01,"[{""Seccion"": 1, ""Grupo"": ""LABORATORIO 1.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mie. 16:00 - 18:00"", ""Dia"": ""Mie"", ""Hora_inicio"": ""16:00"", ""Hora_fin"": ""18:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M301(30)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Williams Valencia, Carlos Eduardo "", ""Correo"": ""cwilliams@utec.edu.pe""}, {""Seccion"": 1, ""Grupo"": ""LABORATORIO 1.01"", ""Modalidad"": ""Presencial"", ""Horario"": ""Vie. 12:00 - 14:00"", ""Dia"": ""Vie"", ""Hora_inicio"": ""12:00"", ""Hora_fin"": ""14:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA M604(30)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Williams Valencia, Carlos Eduardo "", ""Correo"": ""cwilliams@utec.edu.pe""}, {""Seccion"": 1, ""Grupo"": ""TEORÍA 1"", ""Modalidad"": ""Presencial"", ""Horario"": ""Mar. 16:00 - 18:00"", ""Dia"": ""Mar"", ""Hora_inicio"": ""16:00"", ""Hora_fin"": ""18:00"", ""Frecuencia"": ""Semana General"", ""Ubicacion"": ""UTEC-BA A801(45)"", ""Vacantes"": 30, ""Matriculados"": 30, ""Docente"": ""Gonzalez Reaño, Jorge Luis"", ""Correo"": ""jgonzalez@utec.edu.pe""}]"
